datacreationdate,sitename,county,aqi,baseline,z_score,spike_strength
2026-03-06 03:00:00,士林,臺北市,57,37.583333333333336,,19.416666666666664
2026-03-06 03:00:00,頭份,苗栗縣,76,44.291666666666664,,31.708333333333336
2026-03-06 02:00:00,龍潭,桃園市,94,55.958333333333336,,38.041666666666664
2026-03-06 02:00:00,林口,新北市,55,35.75,,19.25
2026-03-06 02:00:00,頭份,苗栗縣,76,42.625,,33.375
2026-03-06 01:00:00,中壢,桃園市,95,62.083333333333336,,32.916666666666664
2026-03-06 01:00:00,龍潭,桃園市,97,53.208333333333336,,43.791666666666664
2026-03-06 01:00:00,頭份,苗栗縣,78,41.166666666666664,,36.833333333333336
2026-03-06 00:00:00,中壢,桃園市,102,59.125,,42.875
2026-03-06 00:00:00,頭份,苗栗縣,74,39.875,,34.125
2026-03-06 00:00:00,龍潭,桃園市,99,50.375,,48.625
2026-03-06 00:00:00,菜寮,新北市,61,36.458333333333336,,24.541666666666664
2026-03-05 23:00:00,中壢,桃園市,99,56.291666666666664,,42.708333333333336
2026-03-05 23:00:00,龍潭,桃園市,101,47.458333333333336,,53.541666666666664
2026-03-05 23:00:00,頭份,苗栗縣,73,38.5,,34.5
2026-03-05 22:00:00,龍潭,桃園市,97,44.708333333333336,,52.291666666666664
2026-03-05 22:00:00,潮州,屏東縣,135,85.16666666666667,,49.83333333333333
2026-03-05 22:00:00,中壢,桃園市,98,53.583333333333336,,44.416666666666664
2026-03-05 22:00:00,沙鹿,臺中市,68,45.166666666666664,,22.833333333333336
2026-03-05 22:00:00,頭份,苗栗縣,70,36.958333333333336,,33.041666666666664
2026-03-05 21:00:00,潮州,屏東縣,141,82.41666666666667,,58.58333333333333
2026-03-05 21:00:00,中壢,桃園市,93,51.375,,41.625
2026-03-05 21:00:00,龍潭,桃園市,94,42.083333333333336,,51.916666666666664
2026-03-05 21:00:00,頭份,苗栗縣,65,35.625,,29.375
2026-03-05 20:00:00,頭份,苗栗縣,62,34.416666666666664,,27.583333333333336
2026-03-05 20:00:00,中壢,桃園市,85,49.625,,35.375
2026-03-05 20:00:00,潮州,屏東縣,143,79.58333333333333,,63.41666666666667
2026-03-05 20:00:00,龍潭,桃園市,92,39.541666666666664,,52.458333333333336
2026-03-05 19:00:00,中壢,桃園市,78,48.375,,29.625
2026-03-05 19:00:00,龍潭,桃園市,78,37.583333333333336,,40.416666666666664
2026-03-05 19:00:00,潮州,屏東縣,127,77.45833333333333,,49.54166666666667
2026-03-05 18:00:00,中壢,桃園市,72,47.458333333333336,,24.541666666666664
2026-03-05 18:00:00,沙鹿,臺中市,62,40.458333333333336,,21.541666666666664
2026-03-05 18:00:00,冬山,宜蘭縣,52,30.458333333333332,,21.541666666666668
2026-03-05 17:00:00,大里,臺中市,71,45.083333333333336,,25.916666666666664
2026-03-05 17:00:00,沙鹿,臺中市,63,39.166666666666664,,23.833333333333336
2026-03-05 16:00:00,沙鹿,臺中市,64,37.791666666666664,,26.208333333333336
2026-03-05 16:00:00,大里,臺中市,69,43.583333333333336,,25.416666666666664
2026-03-05 15:00:00,沙鹿,臺中市,60,36.75,,23.25
2026-03-05 15:00:00,豐原,臺中市,58,31.916666666666668,,26.083333333333332
2026-03-05 14:00:00,豐原,臺中市,54,30.75,,23.25
2026-03-05 14:00:00,沙鹿,臺中市,55,35.75,,19.25
2026-03-05 13:00:00,豐原,臺中市,55,29.333333333333332,,25.666666666666668
2026-03-05 12:00:00,大里,臺中市,60,39.083333333333336,,20.916666666666664
2026-03-05 12:00:00,豐原,臺中市,54,28.0,,26.0
2026-03-05 11:00:00,大里,臺中市,64,37.625,,26.375
2026-03-05 10:00:00,大里,臺中市,59,36.375,,22.625
2026-03-05 09:00:00,大里,臺中市,54,35.625,,18.375
2026-03-05 08:00:00,湖口,新竹縣,54,32.375,,21.625
2026-03-05 06:00:00,埔里,南投縣,63,41.0,,22.0
2026-03-05 05:00:00,埔里,南投縣,62,39.75,,22.25
2026-03-05 04:00:00,埔里,南投縣,62,38.541666666666664,,23.458333333333336
2026-03-05 01:00:00,斗六,雲林縣,63,41.916666666666664,,21.083333333333336
2026-03-05 00:00:00,斗六,雲林縣,62,40.958333333333336,,21.041666666666664
2026-03-04 23:00:00,斗六,雲林縣,61,40.208333333333336,,20.791666666666664
2026-03-04 22:00:00,斗六,雲林縣,61,39.5,,21.5
2026-03-04 21:00:00,斗六,雲林縣,60,38.875,,21.125
2026-03-04 20:00:00,斗六,雲林縣,64,38.083333333333336,,25.916666666666664
2026-03-04 19:00:00,斗六,雲林縣,67,37.083333333333336,,29.916666666666664
2026-03-04 18:00:00,斗六,雲林縣,65,36.125,,28.875
2026-03-04 17:00:00,斗六,雲林縣,63,35.583333333333336,,27.416666666666664
2026-03-04 16:00:00,斗六,雲林縣,55,35.541666666666664,,19.458333333333336
2026-03-04 15:00:00,土城,新北市,53,33.875,,19.125
2026-03-04 05:00:00,朴子,嘉義縣,84,53.958333333333336,,30.041666666666664
2026-03-04 04:00:00,朴子,嘉義縣,90,52.291666666666664,,37.708333333333336
2026-03-04 03:00:00,朴子,嘉義縣,97,50.291666666666664,,46.708333333333336
2026-03-04 02:00:00,朴子,嘉義縣,104,47.875,,56.125
2026-03-04 01:00:00,潮州,屏東縣,89,57.25,,31.75
2026-03-04 01:00:00,朴子,嘉義縣,115,44.791666666666664,,70.20833333333334
2026-03-04 00:00:00,潮州,屏東縣,84,55.541666666666664,,28.458333333333336
2026-03-04 00:00:00,朴子,嘉義縣,115,41.25,,73.75
2026-03-03 23:00:00,朴子,嘉義縣,87,38.791666666666664,,48.208333333333336
2026-03-03 22:00:00,朴子,嘉義縣,84,36.541666666666664,,47.458333333333336
2026-03-03 14:00:00,屏東（琉球）,屏東縣,66,40.333333333333336,,25.666666666666664
2026-03-03 14:00:00,大寮,高雄市,87,55.0,,32.0
2026-03-03 13:00:00,林園,高雄市,88,49.083333333333336,,38.916666666666664
2026-03-03 13:00:00,屏東（琉球）,屏東縣,72,38.25,,33.75
2026-03-03 13:00:00,大寮,高雄市,89,53.458333333333336,,35.541666666666664
2026-03-03 12:00:00,屏東（琉球）,屏東縣,75,36.041666666666664,,38.958333333333336
2026-03-03 11:00:00,屏東（琉球）,屏東縣,71,34.041666666666664,,36.958333333333336
2026-03-03 07:00:00,屏東（琉球）,屏東縣,53,28.208333333333332,,24.791666666666668
2026-03-03 06:00:00,屏東（琉球）,屏東縣,52,26.916666666666668,,25.083333333333332
2026-03-03 02:00:00,臺東,臺東縣,57,36.541666666666664,,20.458333333333336
2026-03-03 01:00:00,臺東,臺東縣,67,34.708333333333336,,32.291666666666664
2026-03-03 00:00:00,臺東,臺東縣,68,32.833333333333336,,35.166666666666664
2026-03-02 23:00:00,臺東,臺東縣,68,31.083333333333332,,36.91666666666667
2026-03-02 22:00:00,臺東,臺東縣,59,29.875,,29.125
2026-03-02 09:00:00,新營,臺南市,80,52.625,,27.375
2026-03-02 04:00:00,三義,苗栗縣,70,46.5,,23.5
2026-03-02 03:00:00,新店,新北市,63,40.083333333333336,,22.916666666666664
2026-03-02 03:00:00,三義,苗栗縣,76,44.625,,31.375
2026-03-02 03:00:00,竹東,新竹縣,54,34.416666666666664,,19.583333333333336
2026-03-02 02:00:00,新北（樹林）,新北市,70,43.291666666666664,,26.708333333333336
2026-03-02 02:00:00,桃園,桃園市,62,39.875,,22.125
2026-03-02 02:00:00,三義,苗栗縣,79,42.666666666666664,,36.333333333333336
2026-03-02 02:00:00,板橋,新北市,71,45.458333333333336,,25.541666666666664
2026-03-02 02:00:00,竹東,新竹縣,57,33.041666666666664,,23.958333333333336
2026-03-02 02:00:00,新店,新北市,69,38.375,,30.625
2026-03-02 01:00:00,三義,苗栗縣,80,40.791666666666664,,39.208333333333336
2026-03-02 01:00:00,中山,臺北市,66,40.916666666666664,,25.083333333333336
2026-03-02 01:00:00,竹東,新竹縣,58,31.666666666666668,,26.333333333333332
2026-03-02 01:00:00,新北（樹林）,新北市,74,41.541666666666664,,32.458333333333336
2026-03-02 01:00:00,新店,新北市,74,36.5,,37.5
2026-03-02 01:00:00,板橋,新北市,76,44.75,,31.25
2026-03-02 01:00:00,桃園,桃園市,69,38.208333333333336,,30.791666666666664
2026-03-02 00:00:00,竹東,新竹縣,61,30.125,,30.875
2026-03-02 00:00:00,新北（樹林）,新北市,74,39.833333333333336,,34.166666666666664
2026-03-02 00:00:00,三義,苗栗縣,78,39.083333333333336,,38.916666666666664
2026-03-02 00:00:00,中山,臺北市,70,39.291666666666664,,30.708333333333336
2026-03-02 00:00:00,板橋,新北市,78,42.958333333333336,,35.041666666666664
2026-03-02 00:00:00,中壢,桃園市,76,48.75,,27.25
2026-03-01 23:00:00,中壢,桃園市,72,47.916666666666664,,24.083333333333336
2026-03-01 23:00:00,中山,臺北市,66,38.041666666666664,,27.958333333333336
2026-03-01 23:00:00,板橋,新北市,70,41.541666666666664,,28.458333333333336
2026-03-01 22:00:00,中山,臺北市,62,37.125,,24.875
2026-03-01 22:00:00,板橋,新北市,65,40.25,,24.75
2026-03-01 21:00:00,中山,臺北市,59,36.333333333333336,,22.666666666666664
2026-03-01 20:00:00,竹東,新竹縣,52,25.75,,26.25
2026-03-01 20:00:00,三義,苗栗縣,64,33.833333333333336,,30.166666666666664
2026-03-01 19:00:00,永和,新北市,60,38.583333333333336,,21.416666666666664
2026-03-01 18:00:00,萬華,臺北市,54,33.791666666666664,,20.208333333333336
2026-03-01 17:00:00,中山,臺北市,52,33.916666666666664,,18.083333333333336
2026-03-01 10:00:00,萬華,臺北市,52,33.083333333333336,,18.916666666666664
2026-03-01 04:00:00,古亭,臺北市,60,35.625,,24.375
2026-03-01 04:00:00,永和,新北市,62,35.708333333333336,,26.291666666666664
2026-03-01 04:00:00,板橋,新北市,58,38.5,,19.5
2026-03-01 03:00:00,板橋,新北市,59,37.458333333333336,,21.541666666666664
2026-03-01 03:00:00,古亭,臺北市,61,34.458333333333336,,26.541666666666664
2026-03-01 03:00:00,永和,新北市,61,34.625,,26.375
2026-03-01 02:00:00,板橋,新北市,60,36.541666666666664,,23.458333333333336
2026-03-01 02:00:00,崙背,雲林縣,91,59.791666666666664,,31.208333333333336
2026-03-01 02:00:00,永和,新北市,58,33.75,,24.25
2026-03-01 02:00:00,古亭,臺北市,62,33.25,,28.75
2026-03-01 01:00:00,永和,新北市,54,33.083333333333336,,20.916666666666664
2026-03-01 01:00:00,苗栗,苗栗縣,58,38.583333333333336,,19.416666666666664
2026-03-01 01:00:00,古亭,臺北市,58,32.25,,25.75
2026-03-01 01:00:00,板橋,新北市,59,35.708333333333336,,23.291666666666664
2026-03-01 01:00:00,崙背,雲林縣,92,58.583333333333336,,33.416666666666664
2026-03-01 00:00:00,苗栗,苗栗縣,58,38.375,,19.625
2026-03-01 00:00:00,崙背,雲林縣,93,57.25,,35.75
2026-02-28 23:00:00,崙背,雲林縣,94,55.75,,38.25
2026-02-28 22:00:00,龍潭,桃園市,57,37.083333333333336,,19.916666666666664
2026-02-28 21:00:00,龍潭,桃園市,58,36.416666666666664,,21.583333333333336
2026-02-28 20:00:00,龍潭,桃園市,58,36.0,,22.0
2026-02-28 19:00:00,龍潭,桃園市,58,35.666666666666664,,22.333333333333336
2026-02-28 11:00:00,屏東（琉球）,屏東縣,101,62.791666666666664,,38.208333333333336
2026-02-28 10:00:00,屏東（琉球）,屏東縣,100,61.541666666666664,,38.458333333333336
2026-02-27 18:00:00,恆春,屏東縣,84,51.541666666666664,,32.458333333333336
2026-02-27 17:00:00,恆春,屏東縣,77,50.125,,26.875
2026-02-27 02:00:00,沙鹿,臺中市,107,57.916666666666664,,49.083333333333336
2026-02-27 01:00:00,新北（樹林）,新北市,69,45.708333333333336,,23.291666666666664
2026-02-27 01:00:00,竹東,新竹縣,64,40.125,,23.875
2026-02-27 01:00:00,大里,臺中市,104,49.416666666666664,,54.583333333333336
2026-02-27 00:00:00,中山,臺北市,71,46.833333333333336,,24.166666666666664
2026-02-27 00:00:00,竹東,新竹縣,69,38.541666666666664,,30.458333333333336
2026-02-27 00:00:00,龍潭,桃園市,70,43.333333333333336,,26.666666666666664
2026-02-27 00:00:00,大里,臺中市,102,47.125,,54.875
2026-02-26 23:00:00,龍潭,桃園市,67,42.041666666666664,,24.958333333333336
2026-02-26 23:00:00,中山,臺北市,69,45.875,,23.125
2026-02-26 23:00:00,南投,南投縣,98,63.833333333333336,,34.166666666666664
2026-02-26 22:00:00,龍潭,桃園市,65,41.0,,24.0
2026-02-26 22:00:00,屏東（枋山）,屏東縣,101,59.833333333333336,,41.166666666666664
2026-02-26 21:00:00,龍潭,桃園市,64,40.0,,24.0
2026-02-26 21:00:00,屏東（枋山）,屏東縣,118,56.666666666666664,,61.333333333333336
2026-02-26 20:00:00,屏東（枋山）,屏東縣,126,53.208333333333336,,72.79166666666666
2026-02-26 19:00:00,屏東（枋山）,屏東縣,126,49.708333333333336,,76.29166666666666
2026-02-26 19:00:00,龍潭,桃園市,60,38.0,,22.0
2026-02-26 18:00:00,永和,新北市,62,40.791666666666664,,21.208333333333336
2026-02-26 18:00:00,屏東（枋山）,屏東縣,118,46.666666666666664,,71.33333333333334
2026-02-26 17:00:00,竹東,新竹縣,54,31.208333333333332,,22.791666666666668
2026-02-26 17:00:00,屏東（枋山）,屏東縣,108,44.291666666666664,,63.708333333333336
2026-02-26 16:00:00,竹東,新竹縣,54,30.333333333333332,,23.666666666666668
2026-02-26 16:00:00,屏東（枋山）,屏東縣,93,42.625,,50.375
2026-02-26 15:00:00,竹東,新竹縣,52,29.541666666666668,,22.458333333333332
2026-02-26 08:00:00,汐止,新北市,57,33.958333333333336,,23.041666666666664
2026-02-26 07:00:00,汐止,新北市,52,33.416666666666664,,18.583333333333336
2026-02-25 04:00:00,屏東（琉球）,屏東縣,131,82.44444444444444,,48.55555555555556
2026-02-25 03:00:00,屏東（琉球）,屏東縣,129,79.70588235294117,,49.294117647058826
2026-02-25 02:00:00,屏東（琉球）,屏東縣,119,77.25,,41.75
2026-02-24 10:00:00,富貴角,新北市,108,40.5,,67.5
2026-02-24 10:00:00,屏東,屏東縣,144,63.666666666666664,,80.33333333333334
2026-02-24 10:00:00,頭份,苗栗縣,115,53.25,,61.75
2026-02-24 10:00:00,苗栗,苗栗縣,97,39.083333333333336,,57.916666666666664
2026-02-24 10:00:00,臺灣大道,臺中市,100,38.166666666666664,,61.833333333333336
2026-02-24 10:00:00,湖口,新竹縣,113,62.416666666666664,,50.583333333333336
